2015-11-13,Hawaii,87,Montana St.,76
2015-11-13,Eastern Mich.,70,Vermont,50
2015-11-13,Columbia,107,Kean,62
2015-11-13,La.-Monroe,88,McMurry,43
2015-11-13,Yale,70,Fairfield,57
2015-11-13,North Dakota,99,Minn.-Morris,69
2015-11-13,Central Mich.,89,Jacksonville St.,83
2015-11-13,Army,93,Ferrum,54
2015-11-13,Iowa St.,68,Colorado,62
2015-11-13,Ole Miss,90,Northwestern St.,76
2015-11-13,Wright St.,77,South Dakota,69
2015-11-13,Penn,76,Robert Morris,75
2015-11-13,Sacred Heart,76,Quinnipiac,64
2015-11-13,St. John&#039;s (NY),66,Wagner,57
2015-11-13,Georgia St.,73,Middle Ga. St.,54
2015-11-13,Clemson,74,N.C. Central,40
2015-11-13,Rutgers,72,Rutgers-Newark,59
2015-11-13,Duke,92,Siena,74
2015-11-13,UNC Wilmington,100,Milligan,62
2015-11-13,Michigan St.,82,Fla. Atlantic,55
2015-11-13,Dayton,84,Southeast Mo. St.,53
2015-11-13,Liberty,64,Covenant,62
2015-11-13,Duquesne,96,Seton Hill,71
2015-11-13,FIU,71,Trinity Baptist,39
2015-11-13,Villanova,91,Fairleigh Dickinson,54
2015-11-13,Furman,63,Presbyterian,53
2015-11-13,Maryland,80,Mt. St. Mary&#039;s,56
2015-11-13,Purdue,81,N.C. A&amp;T,40
2015-11-13,West Virginia,107,Northern Ky.,61
2015-11-13,Richmond,75,James Madison,87
2015-11-13,Abilene Christian,94,University of the Southwest,63
2015-11-13,Boston U.,84,Northeastern,87
2015-11-13,Miami (FL),86,UTRGV,59
2015-11-13,VCU,75,Prairie View,50
2015-11-13,Old Dominion,67,Niagara,50
2015-11-13,Kentucky,78,Albany (NY),65
2015-11-13,Indiana,88,Eastern Ill.,49
2015-11-13,Georgia,90,Chattanooga,92
2015-11-13,Eastern Ky.,107,Coppin St.,80
2015-11-13,Cincinnati,97,Western Caro.,72
2015-11-13,Tennessee,82,UNC Asheville,78
2015-11-13,Syracuse,57,Lehigh,47
2015-11-13,George Washington,85,Lafayette,76
2015-11-13,Florida A&amp;M,103,Fla. Christian,71
2015-11-13,Bucknell,107,Shenandoah,61
2015-11-13,Louisville,86,Samford,45
